ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme,item_image
التنظيم القضائي 2022,livres,5555,HSN18,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,60,1,9.78995E+12,10,التنظيم القضائي 2022,Percentage,25,80,المؤلف,,,عبد الرحمان الشرقاوي,,,,,2022,,,,,القانون المدني ,1.png
التنظيم القضائي المغربي,livres,5555,HSN19,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,84,1,9.78992E+12,10,التنظيم القضائي المغربي,Percentage,30,120,دار الأفاق المغربية,,,عبد القادر قرموش,,,,,2022,,,,,القانون المدني ,1.png
التنظيم القضائي ط 8,livres,5555,HSN20,PIECES,1,Brand 1,11,90,TVA,20,Inclusive,67.5,1,9.78995E+12,10,التنظيم القضائي ط 8,Percentage,25,90,المؤلف,,,عبد الرحمان الشرقاوي,,,,,2022,,,,,القانون المدني ,1.png
التوازن العقدي بين المكري و المكتري في القانون رقم 67.12,livres,5555,HSN21,PIECES,1,Brand 1,11,85,TVA,20,Inclusive,59.5,1,9.78992E+12,10,التوازن العقدي بين المكري و المكتري في القانون رقم 67.12,Percentage,30,85,دار الأفاق المغربية,,,محمد زرال,,,,,2021,,,,,القانون التجاري ,1.png
التوجهات الحديثة لمحكمة لنقض 1/2,livres,5555,HSN22,PIECES,1,Brand 1,11,180,TVA,20,Inclusive,135,1,9.78995E+12,10,التوجهات الحديثة لمحكمة لنقض 1/2,Percentage,25,180,مجلة القضاء المدني,,,زكرياء العماري,,,,,2023,,,,,القضاء ,1.png
الجماعات الترابية بالمغرب,livres,5555,HSN23,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,84,1,9.78992E+12,10,الجماعات الترابية بالمغرب,Percentage,30,120,مكتبة الرشاد,,,سعيد جفري,,,,,2022,,,,,القانون العام,1.png
الحجوزات في قانون المسطرة المدنية المغربي,livres,5555,HSN24,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,84,1,9.78992E+12,10,الحجوزات في قانون المسطرة المدنية المغربي,Percentage,30,120,دار الأفاق المغربية,,,محمد بلحاج الفحصي,,,,,2022,,,,,القانون المدني ,1.png
الحد من الجريمة و حماية حقوق الانسان,livres,5555,HSN25,PIECES,1,Brand 1,11,160,TVA,20,Inclusive,112,1,9.78992E+12,10,الحد من الجريمة و حماية حقوق الانسان,Percentage,30,160,دار الأفاق المغربية,,,سعيد بوتشكوكت,,,,,2022,,,,,القانون الجنائي ,1.png
الحلول الاجرائي في قانون المسطرة المدنية,livres,5555,HSN26,PIECES,1,Brand 1,11,85,TVA,20,Inclusive,59.5,1,9.78992E+12,10,الحلول الاجرائي في قانون المسطرة المدنية,Percentage,30,85,دار الأفاق المغربية,,,محمد الهبول,,,,,2022,,,,,القانون المدني ,1.png
الحماية الجنائية لتنفيذ الاحكام القضائية في الميدان المدني,livres,5555,HSN27,PIECES,1,Brand 1,11,75,TVA,20,Inclusive,52.5,1,9.78992E+12,10,الحماية الجنائية لتنفيذ الاحكام القضائية في الميدان المدني,Percentage,30,75,مكتبة الرشاد,,,بوشعيب الشرافي,,,,,2023,,,,,القانون الجنائي ,1.png
الحماية الجنائية للعمران بالمغرب في ضوء القانون الجنائي للتعمير,livres,5555,HSN28,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,84,1,9.78992E+12,10,الحماية الجنائية للعمران بالمغرب في ضوء القانون الجنائي للتعمير,Percentage,30,120,مكتبة الرشاد,,,عمر مبروك,,,,,2021,,,,,القانون الجنائي ,1.png
الحماية القانونية للمستهلك في التشريع المغربي,livres,5555,HSN29,PIECES,1,Brand 1,11,110,TVA,20,Inclusive,77,1,9.78992E+12,10,الحماية القانونية للمستهلك في التشريع المغربي,Percentage,30,110,دار الأفاق المغربية,,,عبد اللطيف بوعلام,,,,,2021,,,,,قانون المستهلك,1.png
الحماية القانونية لمشتري العقار في طور الإنجاز,livres,5555,HSN30,PIECES,1,Brand 1,11,90,TVA,20,Inclusive,63,1,9.78992E+12,10,الحماية القانونية لمشتري العقار في طور الإنجاز,Percentage,30,90,دار الافاق المغربية,,,ألياس العابوسي,,,,,2021,,,,,القانون العقاري ,1.png
الدليل العملي لاجراءات التقاضي امام المحاكم ط 2,livres,5555,HSN31,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,70,1,9.78992E+12,10,الدليل العملي لاجراءات التقاضي امام المحاكم ط 2,Percentage,30,100,مكتبة الرشاد,,,الشرقي الحراث,,,,,2021,,,,,القضاء ,1.png
الدليل القانوني و القضائي للعمل البنكي بالمغرب,livres,5555,HSN32,PIECES,1,Brand 1,11,140,TVA,20,Inclusive,98,1,9.78992E+12,10,الدليل القانوني و القضائي للعمل البنكي بالمغرب,Percentage,30,140,دار الأفاق المغربية,,,عبد الرحيم المؤذن,,,,,2022,,,,,القانون البنكي,1.png
الذكاء الصناعي,livres,5555,HSN33,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,56,1,9.78992E+12,10,الذكاء الصناعي,Percentage,30,80,دار الأفاق المغربية,,,حسن السوسي,,,,,2023,,,,,القانون التجاري ,1.png
الرجل البرئ The Innocent Man,livres,5555,HSN34,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,70,1,9.78992E+12,10,الرجل البرئ The Innocent Man,Percentage,30,100,دار الأفاق المغربية,,,مصطفى عثمان,,,,,2021,,,,,رواية ,1.png
الزمن في قانون الاستهلاك,livres,5555,HSN35,PIECES,1,Brand 1,11,55,TVA,20,Inclusive,38.5,1,9.78992E+12,10,الزمن في قانون الاستهلاك,Percentage,30,55,دار الأفاق المغربية,,,سكينة نصور,,,,,2021,,,,,قانون المستهلك,1.png
السياسة الجنائية في المجال المعلوماتي في التشريع المغربي,livres,5555,HSN36,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,56,1,9.78992E+12,10,السياسة الجنائية في المجال المعلوماتي في التشريع المغربي,Percentage,30,80,مكتبة الرشاد,,,عبد الجليل مهرار,,,,,2022,,,,,القانون الجنائي ,1.png
السياسة الجنائية في مواجهة جرائم الفساد,livres,5555,HSN37,PIECES,1,Brand 1,11,135,TVA,20,Inclusive,94.5,1,9.78995E+12,10,السياسة الجنائية في مواجهة جرائم الفساد,Percentage,30,135,دار الأفاق المغربية,,,كوثر بوعسرية,,,,,2021,,,,,القانون الجنائي ,1.png
السياسة الجنائية في مواجهة جرائم الفساد المالي و الاداري,livres,5555,HSN38,PIECES,1,Brand 1,11,150,TVA,20,Inclusive,105,1,9.78992E+12,10,السياسة الجنائية في مواجهة جرائم الفساد المالي و الاداري,Percentage,30,150,مكتبة الرشاد,,,اشرف لصابري,,,,,2021,,,,,القانون الجنائي ,1.png
السياسة الجنائية و النموذج التنموي الجديد,livres,5555,HSN39,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,70,1,9.78992E+12,10,السياسة الجنائية و النموذج التنموي الجديد,Percentage,30,100,دار الأفاق المغربية,,,عزيز بنزيان,,,,,2023,,,,,القانون الجنائي ,1.png
الشرح العملي لقانون التنظيم القضائي 38.15,livres,5555,HSN40,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,84,1,9.78992E+12,10,الشرح العملي لقانون التنظيم القضائي 38.15,Percentage,30,120,مكتبة الرشاد,,,محمد نعناني,,,,,2022,,,,,القانون المدني ,1.png
العمل القضائي في قضايا المنازعات العقارية,livres,5555,HSN41,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,90,1,9.78992E+12,10,العمل القضائي في قضايا المنازعات العقارية,Percentage,25,120,المؤلف,,,عبد العزيز ادزني,,,,,2022,,,,,القانون المدني ,1.png
القانون الجنائي المغربي ع 3,livres,5555,HSN42,PIECES,1,Brand 1,11,60,TVA,20,Inclusive,45,1,20200013,10,القانون الجنائي المغربي ع 3,Percentage,25,60,المؤلف,,,خليل مرزوق,,,,,2022,,,,,القانون الجنائي ,1.png
القانون الجنائي المغربي ع 3,livres,5555,HSN43,PIECES,1,Brand 1,11,60,TVA,20,Inclusive,45,1,27378162303,10,القانون الجنائي المغربي ع 3,Percentage,25,60,المؤلف,,,خليل مرزوق,,,,,2023,,,,,القانون الجنائي ,1.png
القانون الجنائي ع 1 /2021.2022,livres,5555,HSN44,PIECES,1,Brand 1,11,33,TVA,20,Inclusive,24.75,1,9.78995E+13,10,القانون الجنائي ع 1 /2021.2022,Percentage,25,33,دار القانون و الثقافة,,,عبد الكريم كمران,,,,,2021,,,,,القانون الجنائي ,1.png
القانون الجنائي ع 1 2022/2023,livres,5555,HSN45,PIECES,1,Brand 1,11,33,TVA,20,Inclusive,24.75,1,9.78995E+12,10,القانون الجنائي ع 1 2022/2023,Percentage,25,33,المؤلف,,,عبد الكريم كمران,,,,,2023,,,,,القانون الجنائي ,1.png
