ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme
livre 26,livres,5555,HSN26,PIECES,1,Brand 1,11,,TVA,20,Inclusive,85,1,9.79E+12,10,الحلول الاجرائي في قانون المسطرة المدنية,Percentage,30,,دار الأفاق المغربية,,,محمد الهبول,,,,,"2,022",,,,,القانون المدني 
livre 27,livres,5555,HSN27,PIECES,1,Brand 1,11,,TVA,20,Inclusive,75,1,9.79E+12,10,الحماية الجنائية لتنفيذ الاحكام القضائية في الميدان المدني,Percentage,30,,مكتبة الرشاد,,,بوشعيب الشرافي,,,,,"2,023",,,,,القانون الجنائي 
livre 28,livres,5555,HSN28,PIECES,1,Brand 1,11,,TVA,20,Inclusive,120,1,9.79E+12,10,الحماية الجنائية للعمران بالمغرب في ضوء القانون الجنائي للتعمير,Percentage,30,,مكتبة الرشاد,,,عمر مبروك,,,,,"2,021",,,,,القانون الجنائي 
livre 29,livres,5555,HSN29,PIECES,1,Brand 1,11,,TVA,20,Inclusive,110,1,9.79E+12,10,الحماية القانونية للمستهلك في التشريع المغربي,Percentage,30,,دار الأفاق المغربية,,,عبد اللطيف بوعلام,,,,,"2,021",,,,,قانون المستهلك
livre 30,livres,5555,HSN30,PIECES,1,Brand 1,11,,TVA,20,Inclusive,90,1,9.79E+12,10,الحماية القانونية لمشتري العقار في طور الإنجاز,Percentage,30,,دار الافاق المغربية,,,ألياس العابوسي,,,,,"2,021",,,,,القانون العقاري 
livre 31,livres,5555,HSN31,PIECES,1,Brand 1,11,,TVA,20,Inclusive,100,1,9.79E+12,10,الدليل العملي لاجراءات التقاضي امام المحاكم ط 2,Percentage,30,,مكتبة الرشاد,,,الشرقي الحراث,,,,,"2,021",,,,,القضاء 
livre 32,livres,5555,HSN32,PIECES,1,Brand 1,11,,TVA,20,Inclusive,140,1,9.79E+12,10,الدليل القانوني و القضائي للعمل البنكي بالمغرب,Percentage,30,,دار الأفاق المغربية,,,عبد الرحيم المؤذن,,,,,"2,022",,,,,القانون البنكي
livre 33,livres,5555,HSN33,PIECES,1,Brand 1,11,,TVA,20,Inclusive,80,1,9.79E+12,10,الذكاء الصناعي,Percentage,30,,دار الأفاق المغربية,,,حسن السوسي,,,,,"2,023",,,,,القانون التجاري 
livre 34,livres,5555,HSN34,PIECES,1,Brand 1,11,,TVA,20,Inclusive,100,1,9.79E+12,10,الرجل البرئ The Innocent Man,Percentage,30,,دار الأفاق المغربية,,,مصطفى عثمان,,,,,"2,021",,,,,رواية 
livre 35,livres,5555,HSN35,PIECES,1,Brand 1,11,,TVA,20,Inclusive,55,1,9.79E+12,10,الزمن في قانون الاستهلاك,Percentage,30,,دار الأفاق المغربية,,,سكينة نصور,,,,,"2,021",,,,,قانون المستهلك
livre 36,livres,5555,HSN36,PIECES,1,Brand 1,11,,TVA,20,Inclusive,80,1,9.79E+12,10,السياسة الجنائية في المجال المعلوماتي في التشريع المغربي,Percentage,30,,مكتبة الرشاد,,,عبد الجليل مهرار,,,,,"2,022",,,,,القانون الجنائي 
livre 37,livres,5555,HSN37,PIECES,1,Brand 1,11,,TVA,20,Inclusive,135,1,9.79E+12,10,السياسة الجنائية في مواجهة جرائم الفساد,Percentage,30,,دار الأفاق المغربية,,,كوثر بوعسرية,,,,,"2,021",,,,,القانون الجنائي 
livre 38,livres,5555,HSN38,PIECES,1,Brand 1,11,,TVA,20,Inclusive,150,1,9.79E+12,10,السياسة الجنائية في مواجهة جرائم الفساد المالي و الاداري,Percentage,30,,مكتبة الرشاد,,,اشرف لصابري,,,,,"2,021",,,,,القانون الجنائي 
livre 39,livres,5555,HSN39,PIECES,1,Brand 1,11,,TVA,20,Inclusive,100,1,9.79E+12,10,السياسة الجنائية و النموذج التنموي الجديد,Percentage,30,,دار الأفاق المغربية,,,عزيز بنزيان,,,,,"2,023",,,,,القانون الجنائي 
livre 40,livres,5555,HSN40,PIECES,1,Brand 1,11,,TVA,20,Inclusive,120,1,9.79E+12,10,الشرح العملي لقانون التنظيم القضائي 38.15,Percentage,30,,مكتبة الرشاد,,,محمد نعناني,,,,,"2,022",,,,,القانون المدني 
livre 41,livres,5555,HSN41,PIECES,1,Brand 1,11,,TVA,20,Inclusive,120,1,9.79E+12,10,العمل القضائي في قضايا المنازعات العقارية,Percentage,25,,المؤلف,,,عبد العزيز ادزني,,,,,"2,022",,,,,القانون المدني 
livre 42,livres,5555,HSN42,PIECES,1,Brand 1,11,,TVA,20,Inclusive,60,1,20200013,10,القانون الجنائي المغربي ع 3,Percentage,25,,المؤلف,,,خليل مرزوق,,,,,"2,022",,,,,القانون الجنائي 
livre 43,livres,5555,HSN43,PIECES,1,Brand 1,11,,TVA,20,Inclusive,60,1,27378162303,10,القانون الجنائي المغربي ع 3,Percentage,25,,المؤلف,,,خليل مرزوق,,,,,"2,023",,,,,القانون الجنائي 
livre 44,livres,5555,HSN44,PIECES,1,Brand 1,11,,TVA,20,Inclusive,33,1,9.79E+13,10,القانون الجنائي ع 1 /2021.2022,Percentage,25,,دار القانون و الثقافة,,,عبد الكريم كمران,,,,,"2,021",,,,,القانون الجنائي 
livre 45,livres,5555,HSN45,PIECES,1,Brand 1,11,,TVA,20,Inclusive,33,1,9.79E+12,10,القانون الجنائي ع 1 2022/2023,Percentage,25,,المؤلف,,,عبد الكريم كمران,,,,,"2,023",,,,,القانون الجنائي 
